id_section,vehicle,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
0,car,9000,9090,9181,4100,4141,4182,4224,4266,4309,4352,4396,4440,4484,4529,4574,4620,4666,4713,4760,4808,4856,4905,4954,5004,5054,5105,5156,5208,5260,5313
1,car,10000,10100,10201,3100,3131,3162,3194,3226,3258,3291,3324,3357,3391,3425,3459,3494,3529,3564,3600,3636,3672,3709,3746,3783,3821,3859,3898,3937,3976,4016
2,car,8000,8080,8161,3100,3131,3162,3194,3226,3258,3291,3324,3357,3391,3425,3459,3494,3529,3564,3600,3636,3672,3709,3746,3783,3821,3859,3898,3937,3976,4016
3,car,0,0,0,5000,5050,5101,5152,5204,5256,5309,5362,5416,5470,5525,5580,5636,5692,5749,5806,5864,5923,5982,6042,6102,6163,6225,6287,6350,6414,6478
0,lgv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,lgv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,lgv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,lgv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,hgv,1000,1010,1020,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
1,hgv,1000,1010,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,hgv,1000,1010,1020,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
3,hgv,0,0,0,900,909,918,927,936,945,954,964,974,984,994,1004,1014,1024,1034,1044,1054,1065,1076,1087,1098,1109,1120,1131,1142,1153,1165
0,bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
