year,price_level,unit,value,scale,gdp_growth_adjustment
2011,2006,eur/g,26,1E-06,0.7
2012,2006,eur/g,27,1E-06,0.7
2013,2006,eur/g,28,1E-06,0.7
2014,2006,eur/g,29,1E-06,0.7
2015,2006,eur/g,30,1E-06,0.7
2016,2006,eur/g,31,1E-06,0.7
2017,2006,eur/g,32,1E-06,0.7
2018,2006,eur/g,33,1E-06,0.7
2019,2006,eur/g,34,1E-06,0.7
2020,2006,eur/g,35,1E-06,0.7
2021,2006,eur/g,36,1E-06,0.7
2022,2006,eur/g,37,1E-06,0.7
2023,2006,eur/g,38,1E-06,0.7
2024,2006,eur/g,39,1E-06,0.7
2025,2006,eur/g,40,1E-06,0.7
2026,2006,eur/g,41,1E-06,0.7
2027,2006,eur/g,42,1E-06,0.7
2028,2006,eur/g,43,1E-06,0.7
2029,2006,eur/g,44,1E-06,0.7
2030,2006,eur/g,45,1E-06,0.7
2031,2006,eur/g,45.5,1E-06,0.7
2032,2006,eur/g,46,1E-06,0.7
2033,2006,eur/g,46.5,1E-06,0.7
2034,2006,eur/g,47,1E-06,0.7
2035,2006,eur/g,47.5,1E-06,0.7
2036,2006,eur/g,48,1E-06,0.7
2037,2006,eur/g,48.5,1E-06,0.7
2038,2006,eur/g,49,1E-06,0.7
2039,2006,eur/g,49.5,1E-06,0.7
2040,2006,eur/g,50,1E-06,0.7
2041,2006,eur/g,50.5,1E-06,0.7
2042,2006,eur/g,51,1E-06,0.7
2043,2006,eur/g,51.5,1E-06,0.7
2044,2006,eur/g,52,1E-06,0.7
2045,2006,eur/g,52.5,1E-06,0.7
2046,2006,eur/g,53,1E-06,0.7
2047,2006,eur/g,53.5,1E-06,0.7
2048,2006,eur/g,54,1E-06,0.7
2049,2006,eur/g,54.5,1E-06,0.7
2050,2006,eur/g,55,1E-06,0.7
2051,2006,eur/g,55.5,1E-06,0.7
2052,2006,eur/g,56,1E-06,0.7
2053,2006,eur/g,56.5,1E-06,0.7
2054,2006,eur/g,57,1E-06,0.7
2055,2006,eur/g,57.5,1E-06,0.7
2056,2006,eur/g,58,1E-06,0.7
2057,2006,eur/g,58.5,1E-06,0.7
2058,2006,eur/g,59,1E-06,0.7
2059,2006,eur/g,59.5,1E-06,0.7
2060,2006,eur/g,60,1E-06,0.7
2061,2006,eur/g,60.5,1E-06,0.7
2062,2006,eur/g,61,1E-06,0.7
2063,2006,eur/g,61.5,1E-06,0.7
2064,2006,eur/g,62,1E-06,0.7
2065,2006,eur/g,62.5,1E-06,0.7
2066,2006,eur/g,63,1E-06,0.7
2067,2006,eur/g,63.5,1E-06,0.7
2068,2006,eur/g,64,1E-06,0.7
2069,2006,eur/g,64.5,1E-06,0.7
2070,2006,eur/g,65,1E-06,0.7
